login_frequency,session_duration,app_visits,pages_viewed,cart_activity,email_open_rate,feature_usage_score,last_login_days,purchase_count,total_spend,avg_order_value,purchase_frequency,last_purchase_days,payment_failures,refund_count,subscription_status,churn,region_Europe,region_North America,region_South America,plan_type_Enterprise,plan_type_Pro
48,85.0,41,128,6,0.7211323573568237,1.400581353485542,20,43.0,212.5739666588433,4.943580619973099,5,47,4,6,1,0,0,0,0,0,1
66,295.0,8,302,10,0.1837846651079011,3.602230465768849,24,16.0,1959.8573929893507,122.49108706183442,14,97,4,7,1,1,0,0,1,0,1
70,286.0,26,380,6,0.3283854996166053,5.06156659459876,10,0.0,3956.339891389564,119.88908761786556,8,2,2,0,0,1,0,1,0,0,0
28,165.0,29,253,3,0.4872120069219139,2.0528474174673184,8,48.0,4017.000091990416,83.68750191646701,15,106,3,3,0,0,0,0,0,1,0
93,257.0,10,77,11,0.0247648775761512,5.079407146795192,49,19.0,3583.582406589716,188.6096003468272,15,80,3,3,1,1,0,0,0,0,1
26,227.0,17,223,5,0.2488190270199318,8.678582310320204,24,21.0,1029.1507166436236,49.007176983029694,19,25,0,4,1,0,0,0,1,0,0
25,199.0,2,227,13,0.40788960850728,6.23188917752548,34,22.0,1243.5535434638598,56.52516106653909,6,60,3,3,1,1,0,1,0,1,0
12,172.0,6,186,11,0.2796363184932062,1.710368695345711,51,9.0,4980.4827490499165,553.3869721166574,19,79,3,8,1,1,0,1,0,1,0
5,189.0,5,308,10,0.1363703274675658,2.725041869472469,31,9.0,525.8562559377798,58.42847288197553,8,24,3,6,1,0,0,0,0,1,0
98,43.0,28,173,18,0.7280122577961974,5.270899151427006,48,9.0,911.5068675230228,101.27854083589142,6,15,1,1,1,1,1,0,0,0,1
48,50.0,41,67,4,0.8131476551679849,4.253384348396309,13,27.0,658.8310156941617,24.4011487294134,15,95,0,0,1,0,0,0,0,0,1
37,84.0,5,278,13,0.2574789761437248,4.228543175914889,0,17.0,1644.9982687812417,96.7646040459554,3,14,2,8,1,0,0,0,0,0,0
79,288.0,18,317,15,0.7744194946063033,5.763407033292312,16,44.0,1058.7774178172776,24.06312313221085,10,54,3,0,1,0,0,0,0,1,0
44,185.0,26,67,12,0.3855535644013138,6.259563294305117,24,45.0,2493.462918143383,55.41028706985296,15,78,1,5,1,0,0,0,0,1,0
15,159.0,20,297,19,0.5066857908540028,8.17175413248572,58,8.0,2385.3433273317983,298.1679159164748,16,6,3,1,0,1,0,0,1,0,0
43,282.0,41,474,3,0.8560010748931528,4.068699071162362,7,16.0,4508.513041062002,281.78206506637514,17,78,1,3,1,1,0,1,0,0,0
48,117.0,49,114,10,0.7499536818024078,8.24919654736528,4,18.0,183.3523377494596,10.186240986081089,19,81,0,5,1,0,0,0,1,0,0
87,148.0,27,237,16,0.8051168513161777,4.047501062013692,4,33.0,1606.199087572139,48.67269962339815,11,18,3,4,1,0,0,0,1,1,0
70,280.0,49,256,6,0.1368451665863568,1.4988969004711046,40,1.0,2987.32288106548,2987.32288106548,16,20,1,5,1,1,0,0,1,1,0
46,298.0,12,197,13,0.0697194258337294,5.9876888590431205,34,12.0,3027.96079160138,252.33006596678163,5,115,4,2,1,1,0,0,0,0,0
43,221.0,7,92,10,0.8934047290879871,6.291120924053331,18,6.0,2405.829882780904,400.9716471301506,5,62,4,4,1,1,1,0,0,0,1
21,281.0,3,195,8,0.3878342695710943,9.410862210596742,22,41.0,4080.171048665022,99.5163670406103,14,81,1,1,0,0,0,1,0,0,0
23,75.0,10,261,12,0.2878796780696808,7.53455193456227,8,5.0,322.9836353581494,64.59672707162989,18,80,3,6,1,0,1,0,0,1,0
80,257.0,34,364,17,0.7246962542618245,9.259953872449955,53,16.0,4079.2839502448783,254.9552468903049,8,40,3,2,1,1,0,0,1,1,0
47,151.0,25,247,10,0.8364155965798566,9.175124892187084,29,18.0,2478.823659774161,137.71242554300895,5,39,0,0,1,0,0,0,1,1,0
15,56.0,35,369,14,0.8624896218983009,6.441166992324179,49,49.0,677.4658684342409,13.825834049678384,7,52,0,7,0,0,1,0,0,0,0
25,210.0,16,193,18,0.3159971411252273,5.749858588028028,15,18.0,4429.652548566984,246.0918082537213,16,32,2,7,0,1,1,0,0,0,0
36,157.0,2,293,0,0.852212391201674,6.016968704472399,32,1.0,3249.651609909408,3249.651609909408,14,108,0,2,0,0,1,0,0,0,0
75,133.0,24,394,3,0.0409339443743453,9.80497726909523,1,19.0,826.0929772524551,43.47857775012921,5,73,3,6,1,0,0,0,1,0,0
51,10.0,10,435,13,0.0496614914597188,7.95850922572263,13,8.0,177.91211976114278,22.239014970142847,9,27,2,8,0,0,0,0,1,1,0
15,256.0,38,219,13,0.6235191951741544,1.9563931431315624,45,3.0,714.1371451799199,238.0457150599733,4,110,0,7,1,1,0,1,0,1,0
68,137.0,22,313,2,0.0631063691155462,8.005855661032598,0,25.0,3047.901821300164,121.91607285200656,4,52,1,2,1,1,0,1,0,1,0
21,200.0,26,305,16,0.3246091685101615,2.534842440084033,25,5.0,904.6882139476418,180.93764278952835,16,97,4,1,0,1,0,0,1,1,0
13,76.0,43,106,2,0.672755986246924,5.026154941050631,57,40.0,1136.5577436263902,28.41394359065976,17,63,0,9,0,0,1,0,0,0,1
86,13.0,39,456,15,0.3372668960542263,2.8941370495888084,24,19.0,135.44723152400775,7.128801659158302,15,74,0,6,1,0,1,0,0,0,1
19,152.0,27,469,13,0.1795997814400959,7.206247589799068,15,18.0,3617.424054470632,200.96800302614625,4,63,1,6,1,0,0,1,0,1,0
34,200.0,29,465,19,0.2813506218538416,8.89578762573732,14,31.0,4053.718354799591,130.76510821934164,6,17,3,8,1,1,0,0,1,1,0
78,30.0,47,481,12,0.4575753322504318,3.6132569683001288,25,33.0,3986.2724020928954,120.7961333967544,16,113,1,4,1,1,0,1,0,0,0
68,236.0,38,217,14,0.4753858553554824,1.738096670873689,46,0.0,646.5650753077783,13.756703729952733,4,49,0,3,1,0,0,1,0,0,0
52,151.0,20,379,13,0.783000231347202,3.6864378826746695,43,18.0,4517.472625669909,250.97070142610605,6,100,3,7,0,1,0,0,0,0,0
27,151.0,27,397,18,0.7501532294315125,7.051256721389749,15,39.0,3364.6713590756594,86.27362459168357,5,81,2,3,1,0,0,0,0,1,0
29,48.0,41,431,5,0.4568178045561352,3.9588411479900496,13,16.0,4488.667825660554,280.5417391037846,16,82,0,3,0,0,0,0,0,0,1
28,261.0,20,420,9,0.8456673490987714,3.5030095079842307,28,16.0,2241.330917608011,140.0831823505007,16,116,1,1,0,1,1,0,0,0,0
35,216.0,44,146,14,0.1142371385913958,2.6599167152583845,23,47.0,2190.404756807652,46.604356527822375,10,23,2,0,1,1,0,0,1,0,1
8,219.0,19,376,19,0.2553533502289015,5.477647841869902,46,38.0,3924.837228237627,103.28519021677968,9,98,4,3,0,1,0,0,1,0,1
16,124.0,20,409,5,0.8279764635022515,3.4835394534146884,54,41.0,475.55629882895016,11.598934117779272,4,72,2,6,1,1,0,0,1,0,0
36,234.0,35,193,9,0.3779940386261531,7.579093142255348,14,7.0,2609.16144280808,372.7373489725828,14,13,1,8,1,1,0,0,1,0,0
30,143.0,47,85,6,0.9811815587938422,1.6896016179298243,18,14.0,4183.557335799816,298.8255239857012,4,23,2,8,1,1,0,0,0,0,1
18,260.0,2,296,16,0.4662532815278354,6.9762972980018585,7,43.0,4152.660889717161,96.5735090631898,12,57,1,9,1,1,1,0,0,0,1
2,228.0,30,481,17,0.7919356229637641,3.138040131109929,33,48.0,4781.102953148421,99.60631152392544,10,62,0,0,0,1,1,0,0,0,1
49,100.0,34,384,16,0.4023070413823719,5.403513349464428,1,25.0,3494.380241717427,139.77520966869707,4,54,3,4,0,0,0,0,0,0,1
77,55.0,22,151,8,0.4249535190624304,3.574809298281345,26,32.0,1046.7754409042443,32.71173252825764,18,20,4,6,1,1,1,0,0,1,0
4,47.0,3,246,9,0.3828831472841835,7.504918084097161,9,38.0,111.1987713239583,2.9262834558936395,13,86,3,6,0,0,0,0,0,0,1
90,151.0,6,34,9,0.7190756205108118,9.50776336226473,34,22.0,2402.2848351492385,109.19476523405628,13,111,3,9,1,0,0,0,1,0,1
89,109.0,15,299,6,0.5475178840599945,9.25369101522832,22,0.0,2573.3822894565524,160.83639309103452,14,52,3,5,0,0,0,0,0,1,0
94,199.0,27,76,15,0.9437781113683692,6.25083593629682,48,29.0,1208.910296649668,41.68656195343683,18,23,1,9,1,0,0,0,1,0,0
75,44.0,10,259,17,0.2508903165341047,5.1634927293128055,7,16.0,632.24026114678,39.51501632167375,1,105,1,3,1,1,0,0,1,0,0
7,156.0,9,417,5,0.1005627320834443,8.364704584954437,27,0.0,2935.17874929064,244.5982291075533,16,35,4,2,1,0,0,1,0,0,0
95,39.0,33,127,19,0.3932614850992152,7.149937263649569,22,17.0,3823.635813380465,224.91975372826263,15,67,1,8,1,0,0,0,0,0,1
74,93.0,32,499,0,0.616712707646776,2.652077027952396,3,37.0,4965.838976914901,134.21186424094327,5,34,1,9,1,0,0,1,0,0,1
39,290.0,48,82,0,0.860798936915495,8.388272922517002,13,0.0,3793.930059880488,140.51592814372177,6,33,1,3,0,1,0,0,0,0,1
13,279.0,6,291,11,0.3461968866803276,4.859959504552392,52,0.0,3970.225747135349,158.80902988541396,6,46,1,7,1,1,0,0,0,0,0
31,163.0,41,413,1,0.6537867511244616,2.700870939740576,41,13.0,3086.1397823616994,237.39536787397688,3,81,0,0,0,1,0,1,0,0,0
71,111.0,36,457,3,0.350198681023219,3.536176153568432,28,8.0,4929.7540682603885,616.2192585325486,16,45,4,6,1,0,0,1,0,0,0
63,224.0,2,369,16,0.6172195829944581,3.407743272235081,0,5.0,3203.3823617217063,640.6764723443413,12,19,1,5,1,0,0,0,0,0,0
56,159.0,29,19,3,0.8848079470306509,5.672862771431141,3,12.0,4302.663899134524,358.55532492787705,4,94,4,0,1,1,1,0,0,0,1
42,92.0,4,220,10,0.231357642259409,3.10933081610088,31,41.0,4729.465384742369,115.352814262009,1,87,2,3,1,1,0,0,1,0,0
61,119.0,1,332,3,0.4042416421070391,2.1120983866141856,32,3.0,4649.993917497799,1549.9979724992663,4,15,0,4,1,0,0,1,0,0,0
42,284.0,19,161,0,0.9932651964297464,2.1132176555238464,48,35.0,1913.262565478949,54.66464472796997,1,78,1,7,1,1,0,0,1,1,0
56,210.0,26,14,6,0.8685570282494608,6.24948577425187,25,33.0,402.5236709881507,12.19768699964093,8,66,0,3,1,0,1,0,0,0,0
36,293.0,25,204,17,0.564639857896202,7.612833599644407,16,22.0,867.6497756708417,39.43862616685644,5,39,0,2,1,0,1,0,0,0,1
84,182.0,10,451,8,0.5166275918542753,3.893797079545067,38,44.0,305.5242939290713,6.943733952933439,2,113,2,1,0,1,1,0,0,0,1
68,215.0,15,292,2,0.284600382304681,1.3118563883261536,22,9.0,535.9307047974088,59.54785608860098,12,18,4,3,1,0,0,1,0,0,0
7,72.0,22,473,7,0.5172094276935294,2.1450239824330968,31,41.0,931.4097170095512,22.717310170964662,17,70,0,9,1,1,1,0,0,0,1
54,82.0,48,122,18,0.8481814982799472,9.232251043033514,51,18.0,1712.060639771135,95.11447998728526,7,59,3,3,1,0,0,1,0,1,0
1,260.0,21,280,3,0.6851745132777806,5.441892936305077,14,29.0,2722.262836409628,93.87113228998716,11,32,2,9,0,0,1,0,0,1,0
44,133.0,22,172,17,0.2900440281779866,5.0821552865365724,12,39.0,3561.293476181879,91.3152173379969,4,21,3,4,0,0,0,0,1,0,0
45,130.0,36,469,19,0.2014639210535329,1.3424426047908182,59,27.0,1062.5274071714946,39.35286693227758,5,40,2,6,1,1,0,0,1,1,0
47,284.0,34,114,10,0.2652085369968291,7.557733200852092,1,36.0,3365.8867971483155,93.49685547634208,6,92,3,8,1,1,0,0,0,0,0
13,129.0,30,190,13,0.1697592013928265,5.75261272838871,59,45.0,3524.252781767074,78.31672848371275,11,27,3,1,1,1,0,0,1,0,0
22,173.0,25,53,17,0.0956406960237159,2.818728424778687,18,17.0,2797.5254609622853,164.5603212330756,1,2,0,4,1,0,0,0,0,0,0
21,295.0,45,291,15,0.419136174442055,1.9906638416295144,23,34.0,4519.053170295566,132.91332853810488,10,97,0,9,1,1,0,0,1,1,0
86,274.0,28,184,2,0.1132996043982677,4.450490772687987,44,0.0,563.8641214698351,12.257915684126852,11,80,2,8,0,1,0,1,0,0,0
92,170.0,1,171,14,0.1719125577271043,8.534457677755231,23,3.0,893.8360734360732,297.9453578120244,17,39,4,2,1,1,0,0,1,0,0
9,98.0,49,480,3,0.5473246843394861,8.78765103280922,10,5.0,2149.037473703529,429.8074947407059,8,86,0,0,1,0,0,0,0,0,1
26,151.0,45,360,4,0.1645992736995747,6.425617423560728,58,14.0,642.296548818852,45.87832491563229,13,56,0,1,0,1,0,0,0,0,0
9,212.0,4,443,16,0.0638797674309028,7.547827845071284,21,3.0,2835.817757183196,945.272585727732,18,107,1,5,1,0,1,0,0,0,0
15,236.0,7,349,6,0.3173888500278852,2.036402086625833,14,23.0,1998.018328381028,86.87036210352294,16,111,0,4,1,0,0,1,0,0,0
10,231.0,49,149,15,0.2203190986219675,6.293134589210694,9,39.0,1430.133014734233,36.67007730087777,2,13,4,0,1,0,0,0,1,0,0
88,50.0,9,480,13,0.5153051879943767,7.002691331384636,40,30.0,858.2491669580099,28.608305565267,5,56,1,0,1,1,1,0,0,0,0
42,205.0,36,141,15,0.1023670845832093,2.80641558622413,26,45.0,1683.3378093575693,37.40750687461265,18,66,3,3,0,1,0,0,1,0,0
72,77.0,19,96,6,0.7517707876829781,8.92139259619233,59,23.0,3043.7171606533866,132.33552872406028,3,78,3,3,1,1,0,0,1,0,1
24,273.0,1,185,8,0.9062335194351386,2.754970637689178,8,27.0,2883.168202338164,106.78400749400608,17,56,1,5,1,0,1,0,0,0,0
80,11.0,10,192,3,0.7434351739561944,3.8212962386180536,51,10.0,826.4837610490667,82.64837610490667,16,102,1,5,1,0,1,0,0,0,0
49,134.0,36,377,10,0.5328270374013943,6.585011623211127,27,25.0,633.3498555957607,25.333994223830427,6,105,1,9,0,0,1,0,0,1,0
26,119.0,9,138,1,0.8606678217888851,6.745150586176577,0,13.0,143.1170454182739,11.009003493713378,19,28,2,5,1,0,1,0,0,0,0
91,95.0,45,255,11,0.6949183797815075,7.294462668886306,16,16.0,72.00371303172201,4.500232064482626,7,64,4,0,1,0,1,0,0,0,1
37,129.0,46,98,11,0.0105511224501898,2.008105417613851,30,41.0,4400.254074241229,107.3232701034446,18,71,4,9,0,0,0,0,1,0,0
68,136.0,42,75,3,0.3940901527745031,8.645179869356998,43,34.0,234.9933914668957,6.911570337261638,14,82,3,8,1,0,1,0,0,0,0
50,264.0,32,167,17,0.8509518994068,5.795624190549339,9,37.0,3658.793338267499,98.88630643966214,6,64,3,6,1,0,0,1,0,0,0
24,192.0,32,396,6,0.3458588579752693,5.241896146945615,36,22.0,4361.205630262336,198.2366195573789,8,56,3,6,1,1,0,0,0,0,0
