login_frequency,session_duration,app_visits,pages_viewed,cart_activity,email_open_rate,feature_usage_score,last_login_days,purchase_count,total_spend,avg_order_value,purchase_frequency,last_purchase_days,payment_failures,refund_count,subscription_status,churn,region_Europe,region_North America,region_South America,plan_type_Enterprise,plan_type_Pro,engagement_score,customer_value_score,friction_score,adoption_score
48,85.0,41,128,6,0.7211323573568237,1.400581353485542,20,43.0,212.5739666588433,4.943580619973099,5,47,4,6,1,0,0,0,0,0,1,0.5302440830391141,1.1219789192466285,10,1.982855807003292
66,295.0,8,302,10,0.1837846651079011,3.602230465768849,24,16.0,1959.8573929893507,122.49108706183442,14,97,4,7,1,1,0,0,1,0,1,0.61163288057698,28.96390559874911,11,4.827167337092842
70,286.0,26,380,6,0.3283854996166053,5.06156659459876,10,0.0,3956.339891389564,119.88908761786556,8,2,2,0,0,1,0,1,0,0,0,0.728968478036801,33.410901816684316,2,6.338398527760301
28,165.0,29,253,3,0.4872120069219139,2.0528474174673184,8,48.0,4017.000091990416,83.68750191646701,15,106,3,3,0,0,0,0,0,1,0,0.4562341730043593,63.605946099574076,6,3.56149384901422
93,257.0,10,77,11,0.0247648775761512,5.079407146795192,49,19.0,3583.582406589716,188.6096003468272,15,80,3,3,1,1,0,0,0,0,1,0.6948415973260694,56.7431277513327,6,3.3112466595699406
26,227.0,17,223,5,0.2488190270199318,8.678582310320204,24,21.0,1029.1507166436236,49.007176983029694,19,25,0,4,1,0,0,0,1,0,0,0.436891335027981,20.641307223138963,4,6.573760093035853
25,199.0,2,227,13,0.40788960850728,6.23188917752548,34,22.0,1243.5535434638598,56.52516106653909,6,60,3,3,1,1,0,1,0,1,0,0.3129205508087496,7.876265655578216,6,5.3904936869591324
12,172.0,6,186,11,0.2796363184932062,1.710368695345711,51,9.0,4980.4827490499165,553.3869721166574,19,79,3,8,1,1,0,1,0,1,0,0.2577947931985199,99.89175820423793,11,2.718911802582675
5,189.0,5,308,10,0.1363703274675658,2.725041869472469,31,9.0,525.8562559377798,58.42847288197553,8,24,3,6,1,0,0,0,0,1,0,0.24044637212339076,4.4408044351961875,9,4.448693279425614
98,43.0,28,173,18,0.7280122577961974,5.270899151427006,48,9.0,911.5068675230228,101.27854083589142,6,15,1,1,1,1,1,0,0,0,1,0.6105319800971976,5.773189480444684,2,4.368916509581238
48,50.0,41,67,4,0.8131476551679849,4.253384348396309,13,27.0,658.8310156941617,24.4011487294134,15,95,0,0,1,0,0,0,0,0,1,0.49512702618292687,10.43205604015965,0,2.798034859568896
37,84.0,5,278,13,0.2574789761437248,4.228543175914889,0,17.0,1644.9982687812417,96.7646040459554,3,14,2,8,1,0,0,0,0,0,0,0.2643881308477582,5.209443307039982,10,4.899842730242014
79,288.0,18,317,15,0.7744194946063033,5.763407033292312,16,44.0,1058.7774178172776,24.06312313221085,10,54,3,0,1,0,0,0,0,1,0,0.7183592115269135,11.176589134001054,3,6.058056222056978
44,185.0,26,67,12,0.3855535644013138,6.259563294305117,24,45.0,2493.462918143383,55.41028706985296,15,78,1,5,1,0,0,0,0,1,0,0.5225801803441555,39.48196772236795,6,3.8011243325233
