customer_id,customer_since,region,plan_type,login_frequency,session_duration,app_visits,pages_viewed,cart_activity,email_open_rate,feature_usage_score,last_login_days,purchase_count,total_spend,avg_order_value,purchase_frequency,last_purchase_days,payment_failures,refund_count,subscription_status,churn
CUST-0001,2023-07-01 17:10:26.719034,Asia,Pro,48,85.0,41,128,6,0.7211323573568237,1.400581353485542,20,43.0,212.5739666588433,4.943580619973099,5,47,4,6,Active,0
CUST-0002,2023-07-02 17:10:26.719034,South America,Pro,66,295.0,8,302,10,0.18378466510790115,3.602230465768849,24,16.0,1959.8573929893507,122.49108706183442,14,97,4,7,Active,1
CUST-0003,2023-07-03 17:10:26.719034,North America,Basic,70,286.0,26,380,6,0.32838549961660535,5.06156659459876,10,,3956.339891389564,119.88908761786557,8,2,2,0,,1
CUST-0004,2023-07-04 17:10:26.719034,Asia,Enterprise,28,165.0,29,253,3,0.4872120069219139,2.0528474174673184,8,48.0,4017.0000919904164,83.68750191646701,15,106,3,3,,0
CUST-0005,2023-07-05 17:10:26.719034,Asia,Pro,93,257.0,10,77,11,0.0247648775761512,5.079407146795192,49,19.0,3583.582406589716,188.60960034682716,15,80,3,3,Active,1
CUST-0006,2023-07-06 17:10:26.719034,South America,Basic,26,227.0,17,223,5,0.24881902701993186,8.678582310320204,24,21.0,1029.1507166436236,49.007176983029694,19,25,0,4,Active,0
CUST-0007,2023-07-07 17:10:26.719034,North America,Enterprise,25,199.0,2,227,13,0.40788960850728007,6.23188917752548,34,22.0,1243.5535434638598,56.525161066539084,6,60,3,3,Active,1
CUST-0008,2023-07-08 17:10:26.719034,North America,Enterprise,12,172.0,6,186,11,0.27963631849320625,1.710368695345711,51,9.0,4980.4827490499165,553.3869721166574,19,79,3,8,Active,1
CUST-0009,2023-07-09 17:10:26.719034,Asia,Enterprise,5,189.0,5,308,10,0.13637032746756583,2.725041869472469,31,9.0,525.8562559377798,58.42847288197553,8,24,3,6,Active,0
CUST-0010,2023-07-10 17:10:26.719034,Europe,Pro,98,43.0,28,173,18,0.7280122577961974,5.270899151427006,48,9.0,911.5068675230228,101.27854083589142,6,15,1,1,Active,1
