customer_id,region,plan_type,subscription_status,login_frequency,session_duration,app_visits,pages_viewed,cart_activity,email_open_rate,feature_usage_score,last_login_days,purchase_count,total_spend,avg_order_value,purchase_frequency,last_purchase_days,payment_failures,refund_count
CUST-0001,Asia,Enterprise,Active,5,62,23,109,14,0.3882760761642146,6.514515466557201,11,2,3012.3438580767524,1506.1719290383762,9,81,3,2
CUST-0002,South America,Pro,Active,23,161,7,134,6,0.3079598902834102,3.678867994297404,77,10,879.1270927275638,87.91270927275637,5,118,1,2
CUST-0003,North America,Enterprise,Active,6,18,16,124,8,0.4625926774630648,8.16342977633337,3,5,3597.31444329082,719.4628886581638,7,25,0,7
CUST-0004,Asia,Enterprise,Active,57,49,38,215,12,0.1258527608877203,4.5881197086679,33,10,860.3015799039283,86.03015799039284,10,89,0,0
CUST-0005,Asia,Pro,Expired,48,206,34,333,3,0.3238108057351566,4.607144108620126,6,33,803.216496621483,24.339893837014635,13,12,1,4
CUST-0006,South America,Enterprise,Active,36,63,9,133,3,0.428965376697749,2.2385351111387384,50,38,194.3711879999748,5.115031263157231,1,143,2,2
CUST-0007,North America,Basic,Expired,74,31,6,94,5,0.5822255056186388,6.115364819055564,10,13,1914.664433184497,147.28187947573053,10,59,2,4
CUST-0008,North America,Basic,Active,36,186,5,395,11,0.3167661140121039,6.008176277993923,5,31,2281.1224763873347,73.58459601249467,5,109,0,0
CUST-0009,Asia,Basic,Active,72,234,7,236,14,0.2065481001789997,4.669936132039895,23,36,309.5491257419919,8.598586826166441,12,26,0,4
CUST-0010,Europe,Basic,Active,59,172,33,296,2,0.1609603036793305,8.706629471719443,10,24,3113.334085945292,129.72225358105382,14,47,2,1
CUST-0011,Asia,Basic,Active,79,235,31,268,12,0.8524254617083068,2.9656129872473294,44,15,1840.490897254709,122.69939315031394,10,32,3,3
CUST-0012,Asia,Basic,Expired,60,60,36,183,11,0.4333112461907834,4.475746349826165,2,29,2121.341563843941,73.14970909806694,14,10,1,6
CUST-0013,Asia,Enterprise,Active,21,131,17,376,5,0.564930096944661,4.4118707351002175,13,8,1791.0128504060012,223.87660630075013,2,16,0,2
CUST-0014,Asia,Basic,Expired,42,20,14,211,6,0.8353412414684477,2.692179396715596,40,5,1633.0140904575376,326.6028180915075,12,145,0,5
CUST-0015,South America,Basic,Active,28,113,31,246,10,0.1661987360282449,5.608590455422199,2,29,2260.5793086674607,77.95101064370554,6,26,2,3
CUST-0016,North America,Pro,Expired,73,138,20,196,9,0.8013291887406342,7.158385378220623,84,4,663.1989714263144,165.7997428565786,11,86,1,6
CUST-0017,South America,Basic,Active,74,247,18,118,9,0.5412702980352561,5.837427601604459,65,12,768.6161154563209,64.05134295469341,1,135,2,4
CUST-0018,South America,Enterprise,Expired,15,51,20,55,2,0.2318674089096007,3.1773326203714527,63,2,3454.0532030033933,1727.0266015016966,3,14,1,2
CUST-0019,South America,Basic,Active,20,38,29,115,6,0.4290040932682952,4.829644739315544,73,27,3787.1560754278494,140.2650398306611,5,79,1,4
CUST-0020,Asia,Enterprise,Active,77,107,27,171,13,0.7220818269881805,2.019462682877349,17,31,1524.571799305024,49.17973546145239,4,117,1,1
CUST-0021,Europe,Pro,Active,63,60,38,170,2,0.4842960654930838,8.512258302766902,9,36,1119.4414589170374,31.095596081028816,3,7,0,0
